TRBC2012,Issues.0.RIC
"5110103010","CHMT.K"
"5330102010","CBRL.O"
"5710601010","CRYYQ.PK"
"5340201010","CWYM.PK"
"5220301011","CRAN.PK"
"5130201010","CCK"
"5210101010","CUB"
"5510101010","CFR"
"5320404013","CFI"
"5310102012","CMI"
"5210101014","CW"
"5710101010","CY.O"
"5330102013","WEN.O"
"5310102010","DAN"
"5210201010","DHR"
"5710601015","MDEA.PK"
"5710201010","DMAR.PK"
"5010302013","DWSN.O"
"5340202010","TGT"
"5720102013","EBIX.O"
"5210202010","DE"
"5910201011","DGAS.O"
"5240601010","DAL"
"5220302010","DLX"
"5340304013","DXLG.O"
"5910101010","DTE"
"5710201010","DGII.O"
"5710201011","AVNW.O"
"5710601015","DBD"
"5340201011","DDS"
"5710101010","DIOD.O"
"5340202010","DG"
"5530102010","DGICA.O"
"5010202010","DBLE.O"
"5910101010","D"
"5220301011","DCI"
"5340304010","ASNA.O"
"5320502010","DW"
"5220302010","RRD.O"
"5210201010","DOV"
"5210201015","FLS"
"5210101014","DCO"
"5910101010","DUK"
"5540302013","DRE"
"5220307012","DNB"
"5220102010","WACC.PK"
"5530102010","EMCI.O"
"5230101010","DD"
"5720102010","MVIV.PK"
"5220102023","DY"
"5510202011","EV"
"5610101010","PKI"
"5710601010","EMC"
"5210201012","EGLP.PK"
"5540302013","EGP"
"5910101010","EE"
"5710603011","KODK.K"
"5210203010","ETN"
"5210201014","ELGT.PK"
"5420103011","ELRC.O"
"5210203013","ESIO.O"
"5220306010","ECL"
"5320501010","EA.O"
"5010202010","KGLJ.PK"
"5510101010","ESBF.O"
"5710601017","ELX"
"5330103010","ELSO.PK"
"5210203010","EMR"
"5910401010","EDE"
"5010302010","WFT"
"5010202010","EGN"
"5010301010","ESV"
"5020102010","EPGRQ.PK"
"5620201011","ENZN.O"
"5220302010","EBF"
"5010202010","EOG"
"5910101010","ETR"
"5610201015","ENZ"
"5220307010","EFX"
"5710101010","EXAR.K"
"5010202010","EQT"
"5210201014","ESE"
"5240501010","EXPD.O"
"5120102010","BOOM.O"
"5510101011","FCBC.O"
"5240503012","PATR.O"
"5210101010","ESL"
"5510105010","OPY"
"5220304010","EXPO.O"
"5110101010","NEU"
"5720101010","FICO.K"
"5110103010","FMTC.PK"
"5110109010","FMC"
"5410202021","FARM.O"
"5910101011","NEE"
"5510101010","FFKT.O"
"5210201024","FAST.O"
"5340202010","FDO"
"5120105016","FELI.PK"
"5310102010","FDML.O"
"5510101012","FNMA.OB"
"5510101012","FMCC.OB"
"5540302010","FRT"
"5310101010","FSS"
"5110103010","FOE"
"5510101011","FFIN.O"
"5510101010","RF"
"5510202014","GLCH.O"
"5220307010","CLGX.K"
"5220304022","SGK"
"5510101010","FBNC.O"
"5510101011","FMER.O"
"5510101010","FBP"
"5510101010","GBCI.O"
"5510101010","FFBC.O"
"5510101010","DRL"
"5510101010","FRME.O"
"5510101010","FMBI.O"
"5510101010","MTB"
"5540302010","FUR"
"5510101011","FRGBQ.PK"
"5510101011","SRCE.O"
"5510101010","FHN"
"5220304027","FISV.O"
"5320404013","FLXS.O"
"5310101010","F"
"5210201012","FLOW.O^B14"
"5540201010","FCEa"
"5620104010","FRX"
"5610201013","CRVL.O"
"5220102010","FWLT.O"
"5120102010","FSTR.O"
"5510202010","BEN"
"5120108010","FCX"
"5210203010","FELE.O"
"5530102010","WTM"
"5510105015","GMT"
"5110103013","FUL"
"5510101011","FULT.O"
"5220304010","GK.O"
"5320202010","GIII.O"
"5330204010","GCI"
"5340304010","GPS"
"5340304014","KDRH.PK"
"5210101014","GY"
"5720101010","GAEX.PK"
"5810101011","GNCMA.O"
"5210101010","GD"
"5230101010","GE"
"5410202010","GIS"
"5210201010","SPW"
"5340304010","GCO"
"5310102015","GNTX.O"
"5310102017","GPC"
"5110101010","AXLL.K"
"5540302012","GTY"
"5130102011","GLT"
"5540302012","NNN"
"5310103010","GT.O"
"5220102010","GVA"
"5110103010","GRA"
"5210201015","GGG"
"5210201010","GWW"
"5510101011","GSBC.O"
"5550101010","GNI"
"5330201010","VVI"
"5420103012","HRB"
"5540302010","UBA"
"5610201011","HGR"
"5220303010","RHI"
"5010302010","HAL"
"5340304010","HRLSQ.PK"
"5340303010","HVT"
"5110109010","HWKN.O"
"5220304016","HCSG.O"
"5240503012","HTLD.O"
"5310101011","HOG"
"5320403012","HELE.O"
"5310102015","HAR"
"5120107013","JOY"
"5710201010","HRS"
"5120107012","HSC"
"5720101010","JKHY.O"
"5320501010","HAS.O"
"5310102012","HGMG.PK"
"5910101010","HE"
"5540302011","CWH"
"5540304011","HCN"
"5540304011","HCP"
"5610201010","HLS"
"5120101010","HL"
"5210101014","HEI"
"5330103010","PNK"
"5610101010","HOLX.O"
"5220102010","HLXC.PK"
"5010301010","HP"
"5220306010","HNI"
"5410202010","HSY"
"5710601010","HPQ"
"5210101010","HXL"
"5610102010","HRC"
"5240503012","JBHT.O"
"5550101010","HOLA.PK"
"5010203011","HFC"
"5510101010","HBAN.O"
"5210201014","HURC.O"
"5340302010","HD"
"5210203013","HTCH.O"
"5320301011","MTH"
"5410202016","HRL"
"5620201010","IMGN.O"
"5620201011","SNGX.OB"
"5910401010","CNP"
"5540201010","HOV"
"5810101011","ICNT.PK"
"5530103010","IHC"
"5510101011","INDB.O"
"5510101010","IBCP.O"
"5210203010","HUBb"
"5430102012","IMKTA.O"
"5010302010","IO"
"5220102010","AEGN.O"
"5210201015","IEX"
"5710101010","IDTI.O"
"5220301010","IWSI.PK"
"5710101010","INTC.O"
"5720102010","IMDI.PK"
"5210201010","ITT"
"5320404011","TILE.O"
"5910101010","IDA"
"5230101010","ITW"
"5340309010","AIHC.PK"
"5510105010","ICQLF.PK"
"5710201010","IDCC.O"
"5210201010","IR"
"5240502012","ISH"
"5210203012","IIIN.O"
"5320302010","GFF"
"5610102010","IVC"
"5530102010","ITIC.O"
"5720101010","IBM"
"5420102010","IFF"
"5330103010","IGT"
"5210201024","ILAS.PK"
"5130202010","IP"
"5710201010","IOMT.PK"
"5010203013","INT"
"5710101010","IRF"
"5720101010","ITXG.PK^H02"
"5410202024","JJSF.O"
"5330203010","NLMP.PK"
"5810101010","IFXC.PK"
"5210203010","AXE"
"5320502013","JOUT.O"
"5220102010","EME"
"5220102012","JEC"
"5710102012","KLAC.O"
"5210201010","KAMN.K"
"5310102010","JCI"
"5220303012","KELYA.O"
"5530103011","KENCA.PK"
"5340201011","SHLD.O"
"5220304010","FRM"
"5910101010","GXP"
"5910101010","WR"
"5240503010","KSU"
"5320404013","KBALB.O"
"5320301010","KBH"
"5410202010","K"
"5210201022","KMT"
"5710102010","KLIC.O"
"5330203010","KLOC.PK"
"5510101010","NBBC.O"
"5320302019","LYTS.O"
"5210201014","LTXC.O"
"5420102013","KMB"
"5710102010","LRCX.O"
"5410202026","LANC.O"
"5410202014","LNCE.O"
"5240502012","KEX"
"5210202013","KTMC.PK"
"5610101010","PHMD.O"
"5710201010","WDACQ.PK"
"5210201012","ASFJ.PK"
"5710101010","LSCC.O"
"5210201024","LAWS.O"
"5430102010","KR"
"5320203010","LAGR.PK"
"5110102011","LXU"
"5710101010","LSI.O"
"5320404013","LZB"
"5910201010","LG"
"5210202015","LNN"
"5710101010","LLTC.O"
"5340304010","KATE.K"
"5710201010","LOJN.O"
"5210201014","LGMTA.PK"
"5010202010","RRC"
"5330204011","LEE"
"5510202010","LM"
"5320404010","LEG"
"5320301011","LEN"
"5560101010","LUK"
"5620104010","LLY"
"5340304010","LB"
"5210203010","MTSC.O"
"5530103010","LNC"
"5540302011","BDN"
"5910101010","MGEE.O"
"5210101010","LMT"
"5530102010","L"
"5530102012","FAC"
"5130101010","LPX"
"5210202010","MTW"
"5340302010","LOW"
"5330104012","LUB"
"5330101011","MCS"
"5210203010","MRGX.PK"
"5210201012","LDL"
"5530102010","MKL"
"5320301011","MDC"
"5530102010","MBI"
"5240503012","MRTN.O"
"5910401010","MDU"
"5330103013","MGM"
"5410202015","MLP"
"5710101010","MXIM.O"
"5210203013","MXWL.O"
"5410202010","MKC"
"5540201010","MGRC.O"
"5210201014","MEAS.O"
"5720101010","MDLG.PK"
"5320501010","ATVI.O"
"5610102010","MDCI.O"
"5120101010","RPGR.L"
"5710101010","MENT.O"
"5510101011","MBVT.O"
"5530102012","MCY"
"5610102010","VIVO.O"
"5540304012","HST"
"5210201014","MLAB.O"
"5720103013","TIPS.PK"
"5210203013","MEI"
"5240601010","MEAI.PK"
"5530101010","MMC"
"5320302010","MAS"
"5320501010","MAT.O"
"5720101010","MCRS.O"
"5710101010","MSCC.O"
"5720102010","MSFT.O"
"5330204010","MNI"
"5010302010","MDR"
"5910301011","MSEX.O"
"5330102013","MCD"
"5410202010","MGPI.O"
"5220307010","MHFI.K"
"5430101010","MCK"
"5220306011","MLHR.O"
"5320202010","ICON.O"
"5220306010","MSA"
"5330204011","MEG"
"5540304011","MDPY.PK"
"5610102010","MED.P^F98"
"5610102010","MDT"
"5430101010","CVS"
"5620104010","MRK"
"5330204012","MDP"
"5010202010","MTR"
"5550101010","MSB"
"5310102012","MOD"
"5540302010","MNR"
"5710101010","MU.O"
"5320403010","MIDD.O"
"5210201024","MHCO.PK"
"5230101010","MMM"
"5910101010","ALE"
"5220302010","LABL.O"
"5560101011","MUSS.PK"
"5210101010","MOGa"
"5510101010","NBTB.O"
"5210201014","NANO.O"
"5710201012","NSSC.O"
"5710201010","MSI"
"5010203010","MUR"
"5610201010","LH"
"5130201014","MYE"
"5620104010","MYL.O"
"5210203010","NL"
"5320403010","NC"
"5510101011","NPBC.O"
"5510201011","NHLD.OB"
"5530103011","NWLI.O"
"5320301011","NVR"
"5010301010","NBR"
"5530102010","NAVG.O"
"5010302011","KEG"
"5910201010","NFG"
"5430101010","AVATQ.PK"
"5610201010","THC"
"5220304015","GPX"
"5320403012","NPK"
"5010302010","NR"
"5710501014","NEWP.O"
"5210202010","NAV"
"5910201011","NJR"
"5010301013","NE"
"5210201012","NDSN.O"
"5340304010","JWN"
"5330204011","NYT"
"5620201011","BOTA.O"
"5120106011","NEM"
"5330203010","FOXA.O"
"5510202010","NTRS.O"
"5320203014","NKE"
"5910201010","NWN"
"5910401010","NI"
"5010202010","NBL"
"5330202011","NNET.PK"
"5240503010","NSC"
"5910101010","NU"
"5210101010","NOC"
"5910101010","NWE"
"5010302010","OII"
"5510101010","WFC"
"5340309020","ODP"
"5010302010","BRS"
"5120102010","NUE"
"5420101010","ODC"
"5010202010","OXY"
"5510101010","ONB.O"
"5910101010","FE"
"5910101010","OGE"
"5530102010","ORI"
"5110101010","OLN"
"5610201012","OCR"
"5330201010","OMC"
"5540302010","OLP"
"5910201010","OKE"
"5210201014","ORBK.O"
"5720102013","ORCL.K"
"5210101017","ORB"
"5510101010","OFG"
"5210101010","OSK"
"5560101010","OTTR.O"
"5320302011","OC"
"5610102015","OMI"
"5320202011","OXM"
"5720102010","HYPRQ.PK"
"5320301010","PHM"
"5510101010","PNC"
"5110101010","PPG"
"5210202010","PCAR.O"
"5220301010","VCTRQ.PK"
"5910101010","PCG"
"5210201010","PLL"
"5720102012","PTC.O"
"5720101010","PAR"
"5310102012","PKOH.O"
"5710101011","PKE"
"5010301010","PKD"
"5540302011","PKY"
"5210201010","PH"
"5010202010","PXD"
"5320302013","PATK.O"
"5220303012","PAYX.O"
"5510101011","PGC.O"
"5220301011","PMFG.O"
"5010202010","PVA"
"5530102010","AFG"
"5340201010","JCP"
"5910401010","PPL"
"5540302012","PEI"
"5210201010","PNR"
"5510101012","PBCT.O"
"5340301010","PBY"
"5410103011","PEP"
"5220102010","TPC"
"5560101011","PERS.PK"
"5010202010","PDCE.O"
"5010302010","PHII.O"
"5910101010","EXC"
"5910301010","WTR"
"5410203013","MO"
"5420102011","IPAR.O"
"5530102010","AGII.O"
"5610102016","PHTO.PK"
"5210201012","PLAB.O"
"5010202010","COP"
"5320202010","PVH"
"5910201010","PNY"
"5510101010","CTBI.O"
"5340303010","PIR"
"5410202016","PPC.O"
"5910101010","PNW"
"5710501010","PBI"
"5720102013","AGYS.O"
"5710101010","PLXS.O"
"5530101012","BRO"
"5320502010","PII"
"5540304014","PCH.O"
"5910101010","POM"
"5210203017","POWL.O"
"5210101010","PCP"
"5560101011","PPCI.PK"
"5510202011","TROW.O"
"5560101011","PAMC.PK"
"5420102010","PG"
"5530102012","PGR"
"5530103010","PL"
"5910101010","PNM"
"5910101010","PEG"
"5210201012","PEQU.PK"
"5220102010","AGX"
"5610201010","QMED.PK"
"5110101010","KWR"
"5720101010","QSII.O"
"5320302010","NX"
"5320202011","ZQK"
"5910201010","STR"
"5540304015","DX"
"5110101010","RPM"
"5310102012","DORM.O"
"5530102010","RLI"
"5120105010","RTI"
"5010302010","RES"
"5230101010","RAVN.O"
"5510201010","RJF"
"5210101010","RTN"
"5620104010","REGN.O"
"5210203010","RBC"
"5330203010","RENT.O"
"5620104012","RGEN.O"
"5340301010","AN"
"5510203010","REXI.O"
"5610201011","ROIX.PK"
"5610102010","MGSR.PK"
"5210201014","PROI.PK"
"5430101012","RAD"
"5210203016","RELL.O"
"5560101011","VERD.PK"
"5210203010","ROK"
"5710101010","ROG"
"5220304020","ROL"
"5010301010","RDC"
"5320404013","ROWC.PK"
"5540302012","RPT"
"5320501011","KID"
"5340304010","ROST.O"
"5240503010","R"
"5120106011","RGLD.O"
"5320301010","RYL"
"5320502013","WGLF.PK"
"5510101011","STBA.O"
"5910301011","SJW"
"5510202014","SEIC.O"
"5560101011","TEXS.OB"
"5220304010","SFE"
"5430102010","SWY"
"5540201010","JOE"
"5610102014","STJ"
"5510103011","SLM.O"
"5410202016","SAFM.O"
"5410202010","HSH"
"5910101010","SCG"
"5910101010","EIX"
"5720102010","SATI.PK"
"5010302010","SLB"
"5110101010","SHLM.O"
"5320302019","USLM.O"
"5330204011","SSP"
"5510101010","SBCF.O"
"5710101010","SMTC.O"
"5420103010","SCI"
"5530102010","SIGI.O"
"5410202030","SENEA.O"
"5610201018","AFAM.O"
"5110101010","SHW"
"5210201012","SSMH.PK"
"5430102010","CEC^B14"
"5710101010","PMCS.O"
"5110103010","SIAL.O"
"5710601016","SIGM.O"
"5510101010","SIVB.O"
"5210203010","AOS"
"5710101015","SITM.PK"
"5410202015","SJM"
"5210201010","SNA"
"5510101010","SFNC.O"
"5330102010","SIXX.PK"
"5330102010","SKNS.PK"
"5340301012","CRMT.O"
"5240601010","SKYW.O"
"5720103013","BID"
"5910201011","SJI"
"5910101010","SO"
"5330102013","SONC.O"
"5130201010","SON"
"5240601011","LUV"
"5910201010","SWX"
"5810102010","T"
"5010202010","SWN"
"5910301010","AWR"
"5710101010","SPA"
"5340305010","SEDN.PK"
"5310102011","SMP"
"5320301011","SPF"
"5310101012","SPAR.O"
"5210203010","SXI"
"5210201010","SWK"
"5210201022","SCX"
"5110103010","SCL"
"5220302010","SR"
"5510201012","SF"
"5340309010","SPLS.O"
"5710601010","DATV.PK"
"5510101012","WSFS.O"
"5540304013","PSA"
"5510201010","STT"
"5210101011","RGR"
"5420102011","RDEN.O"
"5530102011","STC"
"5610102014","SYK"
"5510101010","STI"
"5510101011","SUBK.O"
"5430102010","SVU"
"5310102012","SUP"
"5010202010","SFY"
"5330202012","SGUP.PK"
"5320301010","SSCO.PK"
"5510101010","SNV"
"5430102010","SYY"
"5710101010","SUPX.O"
"5510101010","SUSQ.O"
"5720102012","SYMC.O"
"5510101010","TCB"
"5910101010","TE"
"5340202013","TJX"
"5220304013","TRR"
"5130201014","TG"
"5620104012","CLDX.O"
"5010202010","KSTR.PK"
"5340305010","RSH"
"5220304021","TISI.K"
"5620201011","TARO.K"
"5610102010","LDR"
"5710401014","PULS.K"
"5540201010","TRC"
"5340305010","TECD.O"
"5620201010","TECH.O"
"5210203015","TECUA.O"
"5610102011","TFX"
"5810102010","TDS"
"5310102010","TEN"
"5710102012","TER"
"5210201012","TNC"
"5010203010","TSO"
"5120201010","TXI"
"5210202010","TEX"
"5710201010","TAGI.PK"
"5710101010","TXN.O"
"5010302010","TTI"
"5010202010","TPL"
"5210101012","TXT"
"5610101010","TMO"
"5320502010","THO"
"5710601019","DDD"
"5010302010","TDW"
"5330104010","SIX"
"5340304012","TIF"
"5210201010","TKR"
"5320301010","TOL"
"5410202023","TR"
"5530103011","TMK"
"5720101010","TSS"
"5210202015","TTC"
"5330201013","TRNIQ.PK"
"5540201010","TCI"
"5220102010","TRMB.O"
"5230101010","TRN"
"5510101010","TRST.O"
"5510101011","TRMK.O"
"5340202013","TUES.O"
"5910101010","UNS"
"5210204010","TWIN.O"
"5210203010","IIVI.O"
"5410202016","TSN"
"5720102010","TYL"
"5220301010","WM"
"5240601010","UAL"
"5910201011","UGI"
"5220102010","URS"
"5120201010","USG"
"5320201017","UFI"
"5220304010","UNF"
"5510101010","UBSI.O"
"5240503010","UNP"
"5530102010","UFCS.O"
"5320501012","BYI"
"5510101010","UNFD.PK"
"5720101010","UIS"
"5510101011","UMBF.O"
"5540303010","UMH"
"5010202010","UNT"
"5540303010","UDR"
"5910101010","UIL"
"5120106011","MUX"
"5330103011","SGMS.O"
"5530101010","KMPR.K"
"5810102010","USM"
"5610201010","UHS"
"5530103012","UAM"
"5210101010","UTX"
"5510101011","UVSP.O"
"5330203010","UTLV.PK"
"5910101010","UTL"
"5610102010","UTMD.O"
"5410203010","UVV"
"5110103010","SXT"
"5540304011","UHT"
"5210101010","VSEC.O"
"5510101010","VLY"
"5320302010","VMI"
"5320202010","VFC"
"5120106011","VAGO.PK"
"5010203010","VLO"
"5110103011","VHI"
"5610201010","KND"
"5110101010","VAL"
"5610101010","VAR"
"5710101010","VICR.O"
"5430102012","VLGEA.O"
"5610201018","VRSI.PK"
"5330202010","CBS"
"5110101011","VUAL.PK"
"5710101010","VSH"
"5420101010","WDFC.O"
"5530101012","WLKF.PK"
"5540302010","VNO"
"5120201010","VMC"
"5510101011","WASH.O"
"5910101010","LNT"
"5340309010","WMT"
"5210201023","WTS"
"5430101010","WAG"
"5130102010","WPP"
"5330202010","DIS"
"5510101010","WBS"
"5910201010","WGL"
"5240503012","WERN.O"
"5510101010","WSBC.O"
"5420103010","GHC"
"5540302010","WRE"
"5910401010","AVA"
"5210203015","WSO"
"5540302012","WRI"
"5430102012","WMK"
"5610102010","WST"
"5510101010","WABC.O"
"5320203011","WEYS.O"
"5710601017","WDC.O"
"5220307010","JWa"
"5130202010","MWV"
"5540304014","WY"
"5340303010","WSM"
"5320403011","WHR"
"5210204010","WWD.O"
"5120102013","WOR"
"5010202010","MRO"
"5120102010","X"
"5320502010","WGO"
"5710101010","XLNX.O"
"5910101010","WEC"
"5910401010","TEG"
"5240503010","YRCW.O"
"5320203011","WWW"
"5910101010","YORK.PK"
"5910301011","YORW.O"
"5340304010","FL"
"5510101011","ZION.O"
"5510202010","ECGP.PK"
"5610102016","ZIGO.O"
"5710501010","XRX"
"5320403010","HRG"
"5320403012","LCUT.O"
"5620201010","ALKS.O"
"5610102010","HAE"
"5010302010","MTRX.O"
"5620201010","ISIS.O"
"5320202012","WTSL.O"
"5320202010","JNY"
"5610101010","QDEL.O"
"5320202025","TBAC.PK"
"5710601015","NVUE.PK"
"5210201011","MLI"
"5510101012","CATY.O"
"5210201010","ROP"
"5720102010","SNPS.O"
"5320502013","ELY"
"5330102013","JACK.O"
"5330201015","VCI^B14"
"5620104010","SCLN.O"
"5320202027","FOSL.O"
"5340202012","FRED.O"
"5330202010","DTV.O"
"5240503012","USAK.O"
"5510202011","WETF.O"
"5320404011","MHK"
"5610102010","ICUI.O"
"5510105010","AMBC.O"
"5610102010","OFIX.O"
"5240602010","CAR.O"
"5610102010","BGCC.PK"
"5340304014","CBK"
"5210202010","AGCO.K"
"5330202010","TWX"
"5610102010","CTKI.PK"
"5610101010","BSX"
"5340202010","SSVR.PK"
"5340304013","MW"
"5340304011","FINL.O"
"5340201011","KSS"
"5340304010","SMRT.O"
"5310103012","ABFS.O"
"5720101010","PRGS.O"
"5430101010","ESRX.O"
"5330102010","SBUX.O"
"5110101010","PX"
"5340201011","M"
"5610201011","HWAY.O"
"5110103010","SCCS.PK"
"5610101010","VASO.OB"
"5340304010","BKE"
"5710101010","KOPN.O"
"5620201010","SYNI.PK"
"5510103013","CACC.O"
"5220304015","FC"
"5510101010","CMA"
"5320202010","TRUA.PK"
"5340301010","MNRO.O"
"5530102010","HMN"
"5220102010","NCS"
"5510101011","HBHC.O"
"5340304014","ANN"
"5330102010","DIN"
"5320301010","DHI"
"5220102018","LAYN.O"
"5510101010","WAFD.O"
"5620104015","HITK.O"
"5620104010","PRGO.K"
"5610102018","IDXX.O"
"5220301012","CVA"
"5720101010","HYDN.PK"
"5120103011","KALU.O"
"5810101010","ATNI.O"
"5240503012","ODFL.O"
"5710401014","APH"
"5510103010","WRLD.O"
"5420103014","DV"
"5320301011","WLH"
"5720101010","CDNS.O"
"5330102012","CAKE.O"
"5810102010","VACI.PK"
"5710601010","EFII.O"
"5320502010","PCKO.PK"
"5610102015","MMSI.O"
"5710401010","NTE"
"5210203013","KEM"
"5530102011","MTG"
"5610102015","PDCO.O"
"5540304010","RHP"
"5110103010","MTX"
"5210202012","WNC"
"5540302012","KIM"
"5340309018","BAMM.O"
"5610102010","STE"
"5210203015","AAON.O"
"5130201010","OI"
"5220301012","TCCC.PK"
"5220303010","MAN"
"5530102010","RDN"
